id,value
id_0,7.787246422166518
id_1,17.490110930513325
id_2,23.648023780434716
id_3,6.750871297701249
id_4,27.2195549212329
id_5,21.885923194159705
id_6,23.48760042159718
id_7,30.722563811031375
id_8,17.73524890715226
id_9,57.95714591612389
id_10,11.03794763056536
id_11,10.0356267106001
id_12,63.075432129057475
id_13,54.66534599078663
id_14,21.940835249899195
id_15,12.702631404107624
id_16,32.72253237885626
id_17,67.24775023871013
id_18,-0.4066879108162489
id_19,17.291853370662192
id_20,41.16931994335255
id_21,71.84163114415298
id_22,11.0680391114837
id_23,17.637735431928917
id_24,15.083437560924937
id_25,37.24578675442545
id_26,13.875663855217212
id_27,70.02721287536029
id_28,7.252541690344913
id_29,54.48491532995982
id_30,24.345858438536048
id_31,7.561621762923195
id_32,2.914315007749778
id_33,18.77902180553009
id_34,28.256057577910457
id_35,36.7537076766578
id_36,43.101452463185154
id_37,31.494596971602142
id_38,41.958677886838586
id_39,34.75786657146085
id_40,8.297770972825308
id_41,41.74659752269543
id_42,29.76174508859838
id_43,50.91570921954913
id_44,18.04651488951557
id_45,33.61747690163757
id_46,24.114295970212122
id_47,9.520089224136065
id_48,25.85581694938959
id_49,32.89028051164058
id_50,19.453553410287533
id_51,8.091430979569452
id_52,20.02583277726864
id_53,52.120087845936865
id_54,15.958042250855904
id_55,35.16059497164945
id_56,33.27621255935394
id_57,20.776542971406553
id_58,56.95315717575289
id_59,22.606180281088946
id_60,13.135860317161056
id_61,41.71158544350987
id_62,12.736534545794374
id_63,48.08259787876552
id_64,13.449178507262449
id_65,15.760875426699457
id_66,13.87959185079865
id_67,-0.41136661473996483
id_68,43.533478937813655
id_69,28.890082420360535
id_70,20.66966032115046
id_71,42.554965542788025
id_72,61.521691135208
id_73,4.34126119520997
id_74,16.14677449302266
id_75,3.0207458412638424
id_76,40.23001043568984
id_77,15.260052623283672
id_78,20.930095516288564
id_79,20.757340861342715
id_80,24.043683962249503
id_81,36.60013145242487
id_82,21.83099438134263
id_83,91.64712793030826
id_84,37.24504933667335
id_85,27.703310527362028
id_86,21.296271100964677
id_87,34.63581315765173
id_88,23.69389678338591
id_89,19.382699227597474
id_90,26.612383110211194
id_91,41.90327365366545
id_92,3.4012623566923637
id_93,39.023420857515916
id_94,45.57617410283554
id_95,15.939789061882527
id_96,31.60779306256338
id_97,13.582773921206458
id_98,23.005532534752025
id_99,4.677809120762742
id_100,17.9919955797446
id_101,26.340002415005213
id_102,15.053142578696452
id_103,15.91042948572753
id_104,24.259407336228037
id_105,40.169548285651175
id_106,32.17791023755715
id_107,5.528820545766605
id_108,5.5977489127760585
id_109,79.47425612201245
id_110,48.876212886809455
id_111,16.458608234599193
id_112,27.230719990016812
id_113,15.227522990692027
id_114,13.015769612489223
id_115,25.24517657497116
id_116,26.686329670186332
id_117,10.222476128444105
id_118,17.814280211133756
id_119,18.789872966543008
id_120,80.74670984918671
id_121,26.829801802798432
id_122,37.96512637737503
id_123,24.992256477802247
id_124,7.37443708890283
id_125,37.41149637440617
id_126,9.178428525459157
id_127,22.34638430209762
id_128,29.137580025901325
id_129,63.262582746550976
id_130,20.15845899711242
id_131,23.098997981335152
id_132,58.66571971892853
id_133,15.312546829633943
id_134,14.814013036233604
id_135,1.6569222284669785
id_136,11.208446744506642
id_137,58.8131486893416
id_138,17.413057735816746
id_139,4.098080100099676
id_140,29.07972350490178
id_141,24.656636154424767
id_142,45.4855580405616
id_143,29.871698217847637
id_144,18.65719598808231
id_145,24.903454638091866
id_146,10.758021113520595
id_147,51.682921911307545
id_148,24.497865890037463
id_149,37.15974348579675
id_150,10.539503849992467
id_151,8.105720555491079
id_152,22.638249557487953
id_153,6.852907642660455
id_154,14.246579022282507
id_155,40.520232600835456
id_156,7.620380663053226
id_157,36.41997126145912
id_158,12.04736362217939
id_159,18.709822753152977
id_160,41.3624464007278
id_161,19.774038361490554
id_162,14.45181087366385
id_163,7.548954384604972
id_164,53.22913191799766
id_165,32.05742611367478
id_166,-1.8392411865153768
id_167,16.61409934109606
id_168,63.46764286280067
id_169,13.553209253990888
id_170,64.50203000479759
id_171,39.82742619750857
id_172,27.988376808510992
id_173,21.187685479808668
id_174,60.67844270538454
id_175,25.639718376517727
id_176,21.168371867455498
id_177,37.6850546281478
id_178,13.649560428987638
id_179,31.16538141145005
id_180,16.456079955232386
id_181,11.997535707927746
id_182,55.754068489671155
id_183,46.09565568151582
id_184,15.352501987542293
id_185,34.212180677546044
id_186,26.162670986136
id_187,70.66552727078697
id_188,10.484942431399729
id_189,57.31705764803884
id_190,38.56741935785563
id_191,16.65423339652614
id_192,29.376500851050338
id_193,-0.267813259916732
id_194,19.585150546002957
id_195,1.3193192008125187
id_196,33.60810570963574
id_197,11.238842466230874
id_198,18.94763594189218
id_199,60.141504042091626
id_200,25.959186230344137
id_201,22.92857606165448
id_202,66.00303985822043
id_203,11.493509435107887
id_204,8.11248897129402
id_205,10.740841150516685
id_206,6.945156622144657
id_207,1.804572667652284
id_208,123.94208541671563
id_209,21.94680988616635
id_210,15.787613012143776
id_211,12.153410592218673
id_212,37.03093405515053
id_213,35.62492124457623
id_214,18.462304228414666
id_215,35.52416294014133
id_216,78.8980600697574
id_217,0.02202659853008271
id_218,12.40436891256429
id_219,31.067835314444473
id_220,14.530098247504482
id_221,13.138203559160928
id_222,112.28540518323587
id_223,12.04949724119092
id_224,17.374980960823386
id_225,65.4265198388793
id_226,16.2069042421506
id_227,21.1870754704676
id_228,10.638734593312224
id_229,0.022874845517439013
id_230,47.067521253534366
id_231,13.174867548385505
id_232,54.36947527493875
id_233,43.66658667882531
id_234,26.93272476915641
id_235,40.784668770133315
id_236,69.98311838897443
id_237,42.63159774876014
id_238,11.408351989225402
id_239,18.408139045314442
